sample_id,source_sample_id,target_uid,target_class_id,target_class_name,target_instance_id,target_color,height,width,bbox,dice,iou,infer_ms
patient0010_4CH_ED_f000__la,patient0010_4CH_ED_f000,patient0010_4CH_ED_f000__la,3,LA,0,#2ca02c,669,552,"[310, 321, 433, 470]",0.8144913854142811,0.6870396177585195,242.38524999236688
patient0010_4CH_ES_f000__lv,patient0010_4CH_ES_f000,patient0010_4CH_ES_f000__lv,1,LV,0,#1f77b4,669,552,"[90, 311, 293, 440]",0.8046457607433786,0.6731441896620322,245.71287498110905
patient0010_4CH_ES_f000__la,patient0010_4CH_ES_f000,patient0010_4CH_ES_f000__la,3,LA,0,#2ca02c,669,552,"[286, 315, 424, 455]",0.8180413095406006,0.6921065145032739,258.2416249788366
patient0011_2CH_ED_f000__lv,patient0011_2CH_ED_f000,patient0011_2CH_ED_f000__lv,1,LV,0,#1f77b4,512,422,"[114, 173, 355, 330]",0.8899024797045646,0.8016435163892308,242.4495000159368
patient0011_2CH_ED_f000__la,patient0011_2CH_ED_f000,patient0011_2CH_ED_f000__la,3,LA,0,#2ca02c,512,422,"[353, 198, 421, 305]",0.7597143652047114,0.612531778077445,246.13904097350314
patient0011_2CH_ES_f000__lv,patient0011_2CH_ES_f000,patient0011_2CH_ES_f000__lv,1,LV,0,#1f77b4,512,422,"[118, 186, 334, 322]",0.871830658292656,0.7727835051547329,248.2547500403598
patient0011_2CH_ES_f000__la,patient0011_2CH_ES_f000,patient0011_2CH_ES_f000__la,3,LA,0,#2ca02c,512,422,"[320, 212, 406, 324]",0.8507558015755796,0.740274175620921,251.97462498908862
patient0011_4CH_ED_f000__lv,patient0011_4CH_ED_f000,patient0011_4CH_ED_f000__lv,1,LV,0,#1f77b4,512,422,"[108, 193, 376, 347]",0.9038109252530251,0.824502766971721,249.54275001073256
patient0011_4CH_ED_f000__la,patient0011_4CH_ED_f000,patient0011_4CH_ED_f000__la,3,LA,0,#2ca02c,512,422,"[374, 205, 421, 311]",0.7489764585468923,0.5986909388431199,252.80179205583408
patient0011_4CH_ES_f000__lv,patient0011_4CH_ES_f000,patient0011_4CH_ES_f000__lv,1,LV,0,#1f77b4,512,422,"[128, 211, 339, 334]",0.8693998927509703,0.7689720593309034,245.748832996469
patient0011_4CH_ES_f000__la,patient0011_4CH_ES_f000,patient0011_4CH_ES_f000__la,3,LA,0,#2ca02c,512,422,"[334, 208, 421, 328]",0.7235529576213714,0.5668491786962997,247.2207499668002
patient0012_2CH_ED_f000__lv,patient0012_2CH_ED_f000,patient0012_2CH_ED_f000__lv,1,LV,0,#1f77b4,590,487,"[61, 205, 348, 398]",0.8549747843710404,0.7466864246316484,248.9649159833789
patient0012_2CH_ED_f000__la,patient0012_2CH_ED_f000,patient0012_2CH_ED_f000__la,3,LA,0,#2ca02c,590,487,"[315, 269, 450, 399]",0.8970940977547492,0.8133913291501615,244.8386659962125
patient0012_2CH_ES_f000__lv,patient0012_2CH_ES_f000,patient0012_2CH_ES_f000__lv,1,LV,0,#1f77b4,590,487,"[84, 232, 300, 364]",0.815486077186171,0.6884563038727726,258.6257919901982
patient0012_2CH_ES_f000__la,patient0012_2CH_ES_f000,patient0012_2CH_ES_f000__la,3,LA,0,#2ca02c,590,487,"[294, 255, 451, 411]",0.8853662951566069,0.7943114328137554,254.63895802386105
patient0012_4CH_ED_f000__lv,patient0012_4CH_ED_f000,patient0012_4CH_ED_f000__lv,1,LV,0,#1f77b4,512,422,"[77, 184, 361, 351]",0.9059737686110002,0.8281097313917039,249.70095796743408
patient0012_4CH_ED_f000__la,patient0012_4CH_ED_f000,patient0012_4CH_ED_f000__la,3,LA,0,#2ca02c,512,422,"[351, 218, 421, 344]",0.7958192256736377,0.6608801955994366,251.374332990963
patient0012_4CH_ES_f000__lv,patient0012_4CH_ES_f000,patient0012_4CH_ES_f000__lv,1,LV,0,#1f77b4,512,422,"[85, 206, 314, 337]",0.8903755044744932,0.8024115437834345,268.24587502051145
patient0012_4CH_ES_f000__la,patient0012_4CH_ES_f000,patient0012_4CH_ES_f000__la,3,LA,0,#2ca02c,512,422,"[303, 206, 421, 341]",0.8351444371399377,0.7169510656664784,272.01654098462313
patient0013_2CH_ED_f000__lv,patient0013_2CH_ED_f000,patient0013_2CH_ED_f000__lv,1,LV,0,#1f77b4,630,519,"[93, 211, 341, 353]",0.8151231911614965,0.6879391891892946,244.43895800504833
patient0013_2CH_ED_f000__la,patient0013_2CH_ED_f000,patient0013_2CH_ED_f000__la,3,LA,0,#2ca02c,630,519,"[337, 247, 417, 343]",0.8398346216071906,0.7238921599012645,244.1428330494091
patient0013_2CH_ES_f000__lv,patient0013_2CH_ES_f000,patient0013_2CH_ES_f000__lv,1,LV,0,#1f77b4,630,519,"[110, 233, 323, 341]",0.7239676086153947,0.5673583315780665,244.86325000179932
patient0013_2CH_ES_f000__la,patient0013_2CH_ES_f000,patient0013_2CH_ES_f000__la,3,LA,0,#2ca02c,630,519,"[319, 225, 426, 338]",0.7909722222223432,0.6542217116602965,242.86541697802022
patient0013_4CH_ED_f000__lv,patient0013_4CH_ED_f000,patient0013_4CH_ED_f000__lv,1,LV,0,#1f77b4,669,552,"[98, 233, 367, 436]",0.7598336208856933,0.6126868407998592,261.3058330025524
patient0013_4CH_ED_f000__la,patient0013_4CH_ED_f000,patient0013_4CH_ED_f000__la,3,LA,0,#2ca02c,669,552,"[366, 297, 532, 427]",0.8528151774786252,0.7433982395306784,248.36616701213643
patient0013_4CH_ES_f000__lv,patient0013_4CH_ES_f000,patient0013_4CH_ES_f000__lv,1,LV,0,#1f77b4,669,552,"[108, 254, 354, 421]",0.7600168242415815,0.6129251098723969,259.0762499603443
patient0013_4CH_ES_f000__la,patient0013_4CH_ES_f000,patient0013_4CH_ES_f000__la,3,LA,0,#2ca02c,669,552,"[346, 303, 536, 440]",0.8789376466477263,0.784022087638144,260.8229999896139
patient0014_2CH_ED_f000__lv,patient0014_2CH_ED_f000,patient0014_2CH_ED_f000__lv,1,LV,0,#1f77b4,630,519,"[87, 282, 328, 466]",0.7529686320269489,0.6038088947601267,255.61379198916256
patient0014_2CH_ED_f000__la,patient0014_2CH_ED_f000,patient0014_2CH_ED_f000__la,3,LA,0,#2ca02c,630,519,"[288, 383, 423, 520]",0.8203165767960426,0.6953700973166504,253.48658300936222
patient0014_2CH_ES_f000__lv,patient0014_2CH_ES_f000,patient0014_2CH_ES_f000__lv,1,LV,0,#1f77b4,630,519,"[117, 310, 302, 447]",0.7421450351319958,0.5900084317034201,254.1317919967696
patient0014_2CH_ES_f000__la,patient0014_2CH_ES_f000,patient0014_2CH_ES_f000__la,3,LA,0,#2ca02c,630,519,"[266, 372, 427, 515]",0.8829800194932131,0.7904782679828813,251.4978749677539
patient0014_4CH_ED_f000__lv,patient0014_4CH_ED_f000,patient0014_4CH_ED_f000__lv,1,LV,0,#1f77b4,590,487,"[104, 278, 343, 434]",0.7779987989791739,0.636659602567758,282.94983302475885
patient0014_4CH_ED_f000__la,patient0014_4CH_ED_f000,patient0014_4CH_ED_f000__la,3,LA,0,#2ca02c,590,487,"[336, 332, 463, 429]",0.7955704182885831,0.6605370960403636,251.7229579971172
patient0014_4CH_ES_f000__lv,patient0014_4CH_ES_f000,patient0014_4CH_ES_f000__lv,1,LV,0,#1f77b4,590,487,"[107, 306, 307, 419]",0.8187847163777752,0.6931714546285379,247.41025001276284
patient0014_4CH_ES_f000__la,patient0014_4CH_ES_f000,patient0014_4CH_ES_f000__la,3,LA,0,#2ca02c,590,487,"[296, 317, 459, 433]",0.8502255970067678,0.7394716692191555,249.54083299962804
patient0015_2CH_ED_f000__lv,patient0015_2CH_ED_f000,patient0015_2CH_ED_f000__lv,1,LV,0,#1f77b4,451,422,"[105, 157, 361, 299]",0.8954486942108139,0.8106899964878155,282.9357919981703
patient0015_2CH_ED_f000__la,patient0015_2CH_ED_f000,patient0015_2CH_ED_f000__la,3,LA,0,#2ca02c,451,422,"[351, 195, 421, 298]",0.8079178885632259,0.6777367773682692,249.8351670219563
patient0015_2CH_ES_f000__lv,patient0015_2CH_ES_f000,patient0015_2CH_ES_f000__lv,1,LV,0,#1f77b4,451,422,"[120, 198, 319, 293]",0.8569953536396981,0.7497741644084615,246.82187498547137
patient0015_2CH_ES_f000__la,patient0015_2CH_ES_f000,patient0015_2CH_ES_f000__la,3,LA,0,#2ca02c,451,422,"[318, 194, 421, 306]",0.8175087814105282,0.6913444840511,249.7025839984417
patient0015_4CH_ED_f000__lv,patient0015_4CH_ED_f000,patient0015_4CH_ED_f000__lv,1,LV,0,#1f77b4,388,389,"[96, 119, 329, 259]",0.9063493611626048,0.8287375593051658,252.27791699580848
patient0015_4CH_ED_f000__la,patient0015_4CH_ED_f000,patient0015_4CH_ED_f000__la,3,LA,0,#2ca02c,388,389,"[328, 128, 388, 238]",0.7359683794469012,0.5822388993127232,262.57120800437406
patient0015_4CH_ES_f000__lv,patient0015_4CH_ES_f000,patient0015_4CH_ES_f000__lv,1,LV,0,#1f77b4,388,389,"[105, 144, 283, 248]",0.8699970785860831,0.7699069286454434,248.50045901257545
patient0015_4CH_ES_f000__la,patient0015_4CH_ES_f000,patient0015_4CH_ES_f000__la,3,LA,0,#2ca02c,388,389,"[277, 141, 375, 243]",0.8532595016361356,0.7440737489028268,247.50908400164917
patient0016_2CH_ED_f000__lv,patient0016_2CH_ED_f000,patient0016_2CH_ED_f000__lv,1,LV,0,#1f77b4,748,616,"[77, 313, 343, 492]",0.8427557386523847,0.7282436101009763,276.2209580396302
patient0016_2CH_ED_f000__la,patient0016_2CH_ED_f000,patient0016_2CH_ED_f000__la,3,LA,0,#2ca02c,748,616,"[301, 371, 421, 519]",0.8999665159886573,0.8181264743932591,248.4235410229303
patient0016_2CH_ES_f000__lv,patient0016_2CH_ES_f000,patient0016_2CH_ES_f000__lv,1,LV,0,#1f77b4,748,616,"[90, 338, 311, 475]",0.8242648875710837,0.7010634273466012,246.97066599037498
patient0016_2CH_ES_f000__la,patient0016_2CH_ES_f000,patient0016_2CH_ES_f000__la,3,LA,0,#2ca02c,748,616,"[276, 343, 412, 520]",0.8816974235535701,0.7884247448980717,248.1997080030851
patient0016_4CH_ED_f000__lv,patient0016_4CH_ED_f000,patient0016_4CH_ED_f000__lv,1,LV,0,#1f77b4,748,616,"[91, 316, 327, 507]",0.8547341305270766,0.7463193947449785,250.583374989219
patient0016_4CH_ED_f000__la,patient0016_4CH_ED_f000,patient0016_4CH_ED_f000__la,3,LA,0,#2ca02c,748,616,"[315, 294, 462, 510]",0.8399023369376026,0.7239927841251859,249.1556669701822
patient0016_4CH_ES_f000__lv,patient0016_4CH_ES_f000,patient0016_4CH_ES_f000__lv,1,LV,0,#1f77b4,748,616,"[103, 362, 296, 494]",0.8292625229168404,0.7083249141242128,266.32187503855675
